Sr.no,imdb_id,original_title,actors,is_adult,year_of_release,runtime,genres,review
1347,tt0352314,Ek Hasina Thi,"Saif Ali Khan,Urmila Matondkar,Seema Biswas,Aditya Srivastava,Pratima Kazmi,Madan Joshi,Zakir Hussain,Abhay Bhargav,Rasika Oak,Seema Adhikari,Gopal K. Singh,",Not Adult,2004,Regular Movie,"Crime,Drama,Mystery",1
1348,tt0414714,Girlfriend,"Isha Koppikar,Aashish Chaudhary,Amrita Arora,Sumit Nijhawan,Shantanu Chappana,Vinita Malik,Bhupinde Singh,Sly Bhunjan,",Not Adult,2004,Regular Movie,Drama,5
1349,tt0432536,Hatya: The Murder,"Akshay Kumar,Varsha Usgaonkar,Navin Nischol,Reema Lagoo,Johnny Lever,Laxmikant Berde,Rajendra Gupta,Raza Murad,Pankaj Berry,Sudhir,",Not Adult,2004,Regular Movie,"Action,Crime,Drama",5
1350,tt0440463,Hava Aney Dey,"Aniket Vishwasrao,Nishikant Kamat,Tannishtha Chatterjee,Rajashree Thakur,Chinmay Kelkar,Hridaynath Jadhav,Tejas D. Parvatkar,Nikhil Ratnaparkhi,Mangala Kenkre,Pubali Sanyal,Niaal Saad,Richa Nayyar,Deepak Qazir,Ganesh Yadav,",Not Adult,2004,Regular Movie,Drama,4
1351,tt0408837,Hawas,"Shawar Ali,Meghna Naidu,Tarun Arora,Mukesh Tiwari,Vivek Shauq,Madina,Noora,Priti,Shafaq,Sameer,",Not Adult,2004,Regular Movie,"Drama,Romance,Thriller",5
1352,tt0419828,Hyderabad Blues 2,"Tisca Chopra,Jyoti Dogra,Anuj Gurwara,Elahe Hiptoola,Vikram Inamdar,Nagesh Kukunoor,",Not Adult,2004,Regular Movie,"Comedy,Drama",4
1353,tt0421277,Julie,"Neha Dhupia,Priyanshu Chatterjee,Yash Tonk,Sanjay Kapoor,Achint Kaur,",Not Adult,2004,Regular Movie,Drama,5
1354,tt0400571,Kaun Hai Jo Sapno Mein Aaya,"Raqesh Bapat,Richa Pallod,Anupam Kher,Kader Khan,Usha Bachani,Vinita Malik,Navneet Nishan,Rana Jung Bahadur,Saeed Jaffrey,Zohra Sehgal,Sheela Sharma,Bhartendu Vimal,",Not Adult,2004,Regular Movie,Musical,4
1355,tt0349620,Inteqam: The Perfect Game,"Manoj Bajpayee,Isha Koppikar,Nethra Raghuraman,Sushmita Mukherjee,Sharat Saxena,Parmita Katkar,Ramakant Dayma,Amit Sarin,Satyajit Sharma,Ssanjay Swaraaj,Devika Punjabi,Vani Tripathi,Firoze,Gautam Saugat,",Not Adult,2004,Regular Movie,"Action,Thriller",4
1356,tt0442799,Kis Kis Ki Kismat,"Mallika Sherawat,Rati Agnihotri,Kurush Deboo,",Not Adult,2004,Regular Movie,Comedy,5
1357,tt0405046,Insaaf: The Justice,"Dino Morea,Namrata Shirodkar,Sanjay Suri,Henna,Dayal Shankara,Mohan Joshi,Shri Vallabh Vyas,Kunickaa Sadanand,Tej Sapru,Rajpal Yadav,Varun Vardhan,",Not Adult,2004,Regular Movie,Drama,5
1358,tt0379818,I Proud to Be an Indian,"Sohail Khan,Tim Lawrence,",Not Adult,2004,Regular Movie,"Action,Crime,Drama",4
